Timestamp,Server,Latency (ms),Status,Packet_Loss_%
2025-10-13 15:37:43.983,8.8.8.8,33.00,Success,1.74
2025-10-13 15:37:44.977,8.8.8.8,32.00,Success,1.72
2025-10-13 15:37:45.973,8.8.8.8,29.00,Success,1.71
2025-10-13 15:37:47.037,8.8.8.8,33.00,Success,1.69
2025-10-13 15:37:47.984,8.8.8.8,32.00,Success,1.68
2025-10-13 15:37:48.989,8.8.8.8,46.00,Success,1.67
2025-10-13 15:37:49.980,8.8.8.8,33.00,Success,1.65
2025-10-13 15:37:50.975,8.8.8.8,31.00,Success,1.64
2025-10-13 15:37:51.983,8.8.8.8,34.00,Success,1.63
2025-10-13 15:37:52.986,8.8.8.8,32.00,Success,1.61
2025-10-13 15:37:53.985,8.8.8.8,31.00,Success,1.60
2025-10-13 15:37:54.987,8.8.8.8,36.00,Success,1.59
2025-10-13 15:37:55.985,8.8.8.8,33.00,Success,1.57
2025-10-13 15:37:56.987,8.8.8.8,31.00,Success,1.56
2025-10-13 15:37:58.076,8.8.8.8,32.00,Success,1.55
2025-10-13 15:37:58.985,8.8.8.8,33.00,Success,1.54
2025-10-13 15:37:59.983,8.8.8.8,31.00,Success,1.53
2025-10-13 15:38:00.985,8.8.8.8,33.00,Success,1.52
2025-10-13 15:38:01.984,8.8.8.8,32.00,Success,1.50
2025-10-13 15:38:02.994,8.8.8.8,32.00,Success,1.49
2025-10-13 15:38:03.986,8.8.8.8,30.00,Success,1.48
2025-10-13 15:38:05.001,8.8.8.8,34.00,Success,1.47
2025-10-13 15:38:06.020,8.8.8.8,32.00,Success,1.46
2025-10-13 15:38:07.006,8.8.8.8,32.00,Success,1.45
2025-10-13 15:38:08.012,8.8.8.8,33.00,Success,1.44
2025-10-13 15:38:09.015,8.8.8.8,34.00,Success,1.43
2025-10-13 15:38:10.120,8.8.8.8,33.00,Success,1.42
2025-10-13 15:38:11.025,8.8.8.8,34.00,Success,1.41
2025-10-13 15:38:12.031,8.8.8.8,35.00,Success,1.40
2025-10-13 15:38:13.019,8.8.8.8,33.00,Success,1.39
2025-10-13 15:38:14.014,8.8.8.8,32.00,Success,1.38
2025-10-13 15:38:15.017,8.8.8.8,33.00,Success,1.37
2025-10-13 15:38:16.043,8.8.8.8,32.00,Success,1.36
2025-10-13 15:38:17.024,8.8.8.8,34.00,Success,1.35
2025-10-13 15:38:18.013,8.8.8.8,31.00,Success,1.34
2025-10-13 15:38:19.058,8.8.8.8,32.00,Success,1.33
2025-10-13 15:38:20.293,8.8.8.8,31.00,Success,1.32
2025-10-13 15:38:21.062,8.8.8.8,33.00,Success,1.32
2025-10-13 15:38:22.035,8.8.8.8,30.00,Success,1.31
2025-10-13 15:38:23.031,8.8.8.8,30.00,Success,1.30
2025-10-13 15:38:24.042,8.8.8.8,32.00,Success,1.29
2025-10-13 15:38:25.026,8.8.8.8,33.00,Success,1.28
2025-10-13 15:38:26.037,8.8.8.8,39.00,Success,1.27
2025-10-13 15:38:27.182,8.8.8.8,31.00,Success,1.27
2025-10-13 15:38:28.038,8.8.8.8,32.00,Success,1.26
2025-10-13 15:38:29.039,8.8.8.8,32.00,Success,1.25
2025-10-13 15:38:30.043,8.8.8.8,30.00,Success,1.24
2025-10-13 15:38:31.040,8.8.8.8,35.00,Success,1.23
2025-10-13 15:38:32.037,8.8.8.8,31.00,Success,1.23
2025-10-13 15:38:33.722,8.8.8.8,32.00,Success,1.22
2025-10-13 15:38:34.237,8.8.8.8,36.00,Success,1.21
2025-10-13 15:38:35.062,8.8.8.8,38.00,Success,1.20
2025-10-13 15:38:36.078,8.8.8.8,32.00,Success,1.20
2025-10-13 15:38:37.056,8.8.8.8,33.00,Success,1.19
2025-10-13 15:38:38.048,8.8.8.8,32.00,Success,1.18
2025-10-13 15:38:39.062,8.8.8.8,35.00,Success,1.18
2025-10-13 15:38:40.053,8.8.8.8,32.00,Success,1.17
2025-10-13 15:38:41.061,8.8.8.8,34.00,Success,1.16
2025-10-13 15:38:42.055,8.8.8.8,31.00,Success,1.16
2025-10-13 15:38:43.049,8.8.8.8,30.00,Success,1.15
2025-10-13 15:38:44.052,8.8.8.8,32.00,Success,1.14
2025-10-13 15:38:45.057,8.8.8.8,34.00,Success,1.14
2025-10-13 15:38:46.066,8.8.8.8,30.00,Success,1.13
2025-10-13 15:38:47.058,8.8.8.8,32.00,Success,1.12
2025-10-13 15:38:48.058,8.8.8.8,32.00,Success,1.12
2025-10-13 15:38:49.058,8.8.8.8,34.00,Success,1.11
2025-10-13 15:38:50.059,8.8.8.8,32.00,Success,1.10
2025-10-13 15:38:51.084,8.8.8.8,56.00,Success,1.10
2025-10-13 15:38:52.079,8.8.8.8,53.00,Success,1.09
2025-10-13 15:38:53.062,8.8.8.8,32.00,Success,1.09
2025-10-13 15:38:54.064,8.8.8.8,34.00,Success,1.08
2025-10-13 15:38:55.060,8.8.8.8,32.00,Success,1.08
2025-10-13 15:38:56.061,8.8.8.8,31.00,Success,1.07
2025-10-13 15:38:57.102,8.8.8.8,49.00,Success,1.06
2025-10-13 15:38:58.071,8.8.8.8,31.00,Success,1.06
2025-10-13 15:38:59.060,8.8.8.8,33.00,Success,1.05
2025-10-13 15:39:00.077,8.8.8.8,35.00,Success,1.05
2025-10-13 15:39:01.138,8.8.8.8,41.00,Success,1.04
2025-10-13 15:39:02.072,8.8.8.8,32.00,Success,1.04
2025-10-13 15:39:03.061,8.8.8.8,31.00,Success,1.03
2025-10-13 15:39:04.081,8.8.8.8,43.00,Success,1.03
2025-10-13 15:39:05.078,8.8.8.8,49.00,Success,1.02
2025-10-13 15:39:06.065,8.8.8.8,32.00,Success,1.02
2025-10-13 15:39:07.071,8.8.8.8,32.00,Success,1.01
2025-10-13 15:39:08.065,8.8.8.8,31.00,Success,1.01
2025-10-13 15:40:46.790,8.8.8.8,30.00,Success,0.00
2025-10-13 15:40:47.788,8.8.8.8,30.00,Success,0.00
2025-10-13 15:40:48.800,8.8.8.8,31.00,Success,0.00
2025-10-13 15:40:49.882,8.8.8.8,34.00,Success,0.00
2025-10-13 15:40:50.845,8.8.8.8,34.00,Success,0.00
2025-10-13 15:40:51.803,8.8.8.8,33.00,Success,0.00
2025-10-13 15:40:52.801,8.8.8.8,30.00,Success,0.00
2025-10-13 15:40:53.820,8.8.8.8,32.00,Success,0.00
2025-10-13 15:40:54.789,8.8.8.8,32.00,Success,0.00
2025-10-13 15:40:55.792,8.8.8.8,32.00,Success,0.00
2025-10-13 15:40:56.791,8.8.8.8,35.00,Success,0.00
2025-10-13 15:40:57.797,8.8.8.8,31.00,Success,0.00
2025-10-13 15:40:58.784,8.8.8.8,30.00,Success,0.00
2025-10-13 15:40:59.799,8.8.8.8,43.00,Success,0.00
2025-10-13 15:41:00.786,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:01.794,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:02.801,8.8.8.8,37.00,Success,0.00
2025-10-13 15:41:03.801,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:04.792,8.8.8.8,30.00,Success,0.00
2025-10-13 15:41:05.794,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:06.799,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:07.793,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:08.813,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:09.794,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:10.793,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:11.798,8.8.8.8,30.00,Success,0.00
2025-10-13 15:41:12.797,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:13.811,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:14.802,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:15.796,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:16.799,8.8.8.8,34.00,Success,0.00
2025-10-13 15:41:17.796,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:18.807,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:19.807,8.8.8.8,39.00,Success,0.00
2025-10-13 15:41:20.827,8.8.8.8,63.00,Success,0.00
2025-10-13 15:41:21.797,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:22.803,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:23.807,8.8.8.8,30.00,Success,0.00
2025-10-13 15:41:24.801,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:25.805,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:26.808,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:27.810,8.8.8.8,36.00,Success,0.00
2025-10-13 15:41:28.817,8.8.8.8,35.00,Success,0.00
2025-10-13 15:41:29.805,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:30.808,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:31.806,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:32.939,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:33.828,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:34.815,8.8.8.8,47.00,Success,0.00
2025-10-13 15:41:35.803,8.8.8.8,30.00,Success,0.00
2025-10-13 15:41:36.813,8.8.8.8,31.00,Success,0.00
2025-10-13 15:41:37.811,8.8.8.8,37.00,Success,0.00
2025-10-13 15:41:38.804,8.8.8.8,34.00,Success,0.00
2025-10-13 15:41:39.813,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:40.822,8.8.8.8,32.00,Success,0.00
2025-10-13 15:41:41.814,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:42.893,8.8.8.8,113.00,Success,0.00
2025-10-13 15:41:43.917,8.8.8.8,144.00,Success,0.00
2025-10-13 15:41:44.839,8.8.8.8,44.00,Success,0.00
2025-10-13 15:41:45.841,8.8.8.8,57.00,Success,0.00
2025-10-13 15:41:46.853,8.8.8.8,74.00,Success,0.00
2025-10-13 15:41:47.848,8.8.8.8,64.00,Success,0.00
2025-10-13 15:41:48.810,8.8.8.8,34.00,Success,0.00
2025-10-13 15:41:49.815,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:50.828,8.8.8.8,43.00,Success,0.00
2025-10-13 15:41:52.237,8.8.8.8,34.00,Success,0.00
2025-10-13 15:41:52.979,8.8.8.8,36.00,Success,0.00
2025-10-13 15:41:53.914,8.8.8.8,36.00,Success,0.00
2025-10-13 15:41:54.916,8.8.8.8,35.00,Success,0.00
2025-10-13 15:41:55.910,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:56.909,8.8.8.8,33.00,Success,0.00
2025-10-13 15:41:57.956,8.8.8.8,34.00,Success,0.00
2025-10-13 15:41:58.940,8.8.8.8,38.00,Success,0.00
2025-10-13 15:41:59.916,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:00.934,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:01.921,8.8.8.8,38.00,Success,0.00
2025-10-13 15:42:02.921,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:03.920,8.8.8.8,33.00,Success,0.00
2025-10-13 15:42:04.924,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:05.921,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:06.924,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:07.918,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:08.917,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:09.932,8.8.8.8,40.00,Success,0.00
2025-10-13 15:42:10.918,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:11.919,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:12.930,8.8.8.8,46.00,Success,0.00
2025-10-13 15:42:13.926,8.8.8.8,43.00,Success,0.00
2025-10-13 15:42:14.921,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:15.920,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:16.931,8.8.8.8,37.00,Success,0.00
2025-10-13 15:42:17.940,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:18.941,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:19.941,8.8.8.8,37.00,Success,0.00
2025-10-13 15:42:20.923,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:21.935,8.8.8.8,38.00,Success,0.00
2025-10-13 15:42:22.921,8.8.8.8,33.00,Success,0.00
2025-10-13 15:42:23.928,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:24.966,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:25.930,8.8.8.8,38.00,Success,0.00
2025-10-13 15:42:26.929,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:27.934,8.8.8.8,41.00,Success,0.00
2025-10-13 15:42:28.936,8.8.8.8,46.00,Success,0.00
2025-10-13 15:42:29.935,8.8.8.8,40.00,Success,0.00
2025-10-13 15:42:30.932,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:31.960,8.8.8.8,43.00,Success,0.00
2025-10-13 15:42:32.938,8.8.8.8,36.00,Success,0.00
2025-10-13 15:42:33.968,8.8.8.8,33.00,Success,0.00
2025-10-13 15:42:34.969,8.8.8.8,45.00,Success,0.00
2025-10-13 15:42:36.214,8.8.8.8,78.00,Success,0.00
2025-10-13 15:42:37.020,8.8.8.8,68.00,Success,0.00
2025-10-13 15:42:38.024,8.8.8.8,44.00,Success,0.00
2025-10-13 15:42:38.971,8.8.8.8,33.00,Success,0.00
2025-10-13 15:42:39.973,8.8.8.8,35.00,Success,0.00
2025-10-13 15:42:40.998,8.8.8.8,60.00,Success,0.00
2025-10-13 15:42:41.971,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:42.976,8.8.8.8,38.00,Success,0.00
2025-10-13 15:42:43.967,8.8.8.8,34.00,Success,0.00
2025-10-13 15:42:44.973,8.8.8.8,37.00,Success,0.00
